Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;FF Mcap (MEUR);Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20240301;SXXP;STOXX Europe 600;EU0009658202;DK1075;DK0015250344;ALMB.CO;ALM BRAND;DK;DKK;NASDAQ Copenhagen;;1432.56607285571;723;744;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;533709;IT0001157020;ERG.MI;ERG;IT;EUR;Borsa Italiana;;1419.3875808;724;706;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B1ZBKY;GB00B1ZBKY84;MONY.L;MONEYSUPERMARKET COM GP.;GB;GBP;London SE;;1413.02553695586;725;718;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;FR1029;FR0000031577;VIRB.PA;VIRBAC;FR;EUR;Euronext Paris;;1412.452168;726;734;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;CH5020;AT0000A18XM4;AMS.S;AMS-OSRAM AG;CH;CHF;Six Swiss Exchange;;1411.38018784357;727;567;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB8054;JE00BF4X3P53;JTC.L;JTC GROUP;GB;GBP;London SE;;1411.04586236537;728;724;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;713666;FR0000077919;JCDX.PA;JCDECAUX;FR;EUR;Euronext Paris;;1409.10727182558;729;733;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;DE35BA;DE000A3ENQ51;1SXP.DE;SCHOTT PHARMA;DE;EUR;XETRA;;1406.439284208;730;773;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;SE005B;SE0007692850;CAMX.ST;CAMURUS;SE;SEK;NASDAQ Stockholm;;1405.76604054443;731;700;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB303X;GB0006650450;OXIG.L;OXFORD INSTRUMENTS;GB;GBP;London SE;;1403.73427304567;732;730;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;407732;PLBIG0000016;MILP.WA;BANK MILLENNIUM;PL;PLN;Warsaw SE;;1402.0222656176;733;796;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;FR406G;FR0010667147;COFA.PA;COFACE;FR;EUR;Euronext Paris;;1396.95590540688;734;753;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;IT304I;IT0005482333;TPRO.MI;TECHNOPROBE SPA;IT;EUR;Borsa Italiana;;1396.57375;735;743;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB90BB;GB00BYRJ5J14;PHP.L;PRIMARY HEALTH PROPS.;GB;GBP;London SE;;1395.85896888282;736;710;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;409830;DE0005909006;GBFG.DE;BILFINGER;DE;EUR;XETRA;;1390.36450888721;737;877;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;DE402X;DE0006219934;JUNG_p.DE;JUNGHEINRICH PREF;DE;EUR;XETRA;;1385.28;738;713;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;NO108K;NO0003055501;NOD.OL;NORDIC SEMICONDUCTOR;NO;NOK;Oslo Bors;;1384.79510112888;739;677;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;689562;GB00B3FLWH99;BOY.L;BODYCOTE;GB;GBP;London SE;;1384.16896360285;740;729;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB203W;GB0002074580;GNS.L;GENUS;GB;GBP;London SE;;1383.1280667799;741;650;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;NO707P;BMG1466R1732;BORR.OL;BORR DRILLING;NO;NOK;Oslo Bors;;1383.08176584096;742;768;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;SE10FM;SE0005999836;AFRY.ST;AFRY;SE;SEK;NASDAQ Stockholm;;1382.25904943165;743;784;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B02SWN;CH0019396990;YPSN.S;YPSOMED HOLDING R;CH;CHF;Six Swiss Exchange;;1368.49000901789;744;798;;;
